absolute_magnitude_h,is_sentry_object,relative_velocity_km_per_second,miss_distance_astronomical,orbiting_body,n_approaches,min_miss_distance_au,max_velocity_km_s,semi_major_axis,inclination,perihelion_distance,perihelion_argument,orbit_uncertainty,minimum_orbit_intersection,data_arc_in_days,orbit_class_type,diameter_mean_km,diameter_uncertainty,perihelion_to_aphelion_ratio,threat_ratio,velocity_distance_ratio,observation_reliability,is_potentially_hazardous
24.1,0,11.2718169519,0.0761557092,EARTH,1,0.0761557092,11.2718169519,2.436598989757768,4.28288048012598,0.9851756150293952,220.7697621022089,8.0,0.0253018,21.0,APO,0.0650942484,0.0497275808,0.253387332343599,0.3886948635541815,148.01013699836963,0.3809523809523809,0
23.55,0,21.7423443945,0.241207386,EARTH,4,0.0468952541,21.7423443945,1.539797747841453,5.546002059593989,0.718298406101311,252.3953794850925,7.0,0.0110251,18.0,APO,0.08385763635,0.0640615337,0.304196540651557,0.1314740133383213,90.13962944940668,0.3888888888888889,0
22.7,0,21.6347449823,0.3645058911,EARTH,170,0.034089968,25.0672581701,0.8398771628588388,25.0778699054156,0.6086441940769465,152.5745464828231,0.0,0.0326393,3664.0,ATE,0.1240345333,0.0947539518,0.5682368003975676,0.2631468763707599,59.353622288547975,0.0,0
23.7,0,13.5175994653,0.1355975777,EARTH,1,0.1355975777,13.5175994653,1.752928269500324,24.53259002600876,1.112868431849447,157.7493505603121,9.0,0.12788,5.0,AMO,0.07826049975,0.0597857018999999,0.4650538916276908,1.6340299436945518,99.68909249401732,1.8,0
23.18,0,10.4888960074,0.3152467751,EARTH,65,0.0261147735,28.8324389043,1.360543172345312,15.59311685439293,0.7449988528772491,265.7833996517402,0.0,0.01675,5659.0,APO,0.0994357644499999,0.0759621647,0.3770070181424981,0.1684504573645886,33.27201683212397,0.0,0
18.41,0,3.6928702864,1.4186310875,JUPTR,5,1.3023279462,4.1021498764,2.744639340643002,16.26268484922308,1.23163599703802,220.8046208217031,0.0,0.268742,3471.0,AMO,0.8944222962999999,0.6832778338,0.2892765054227562,0.3004643344779284,2.603122347267749,0.0,0
23.05,0,7.8010917395,0.0205416389,EARTH,109,0.007657655,20.0217334701,0.9171909224283408,13.0592711272513,0.7685208332825234,305.9472323058085,2.0,0.00247113,5114.0,ATE,0.10557050935,0.0806486927,0.7210328785246621,0.0234073891962329,379.76968524648737,0.000391083300743,0
18.23,0,21.1822369729,0.1799228347,EARTH,5,0.095871306,21.1822369729,2.409201782099167,15.64993100577925,0.8255633501961214,305.5664873532731,0.0,0.00267779,9559.0,APO,0.97172330105,0.7423305467000001,0.2067609285493095,0.0027557124513804,117.729564500353,0.0,1
23.1,0,23.6267298327,0.3948828282,EARTH,73,0.0037039639,26.4742237524,1.205513644983381,4.851496843581522,0.742235194379867,81.99787139030086,0.0,0.00422177,4190.0,APO,0.10316743115,0.0788129043,0.4447739154222392,0.0409215384442573,59.83225439403901,0.0,0
22.11,0,12.4909760793,0.2918840158,EARTH,16,0.1437044046,15.5770786745,1.413496017464543,16.39860049570205,1.098213081416338,49.26288998253082,6.0,0.142378,57.0,AMO,0.16275810205,0.1243361260999999,0.6352536159610525,0.8747828722914259,42.79431350519332,0.1052631578947368,0
24.04,0,9.1765489141,0.3327115802,EARTH,158,0.0430847395,22.1431431399,0.8461174579624151,8.283187663515932,0.6285591733728055,161.5135246790018,0.0,0.0429544,2571.0,ATE,0.0669179483,0.0511207636,0.5909311909894028,0.6418965478055458,27.581092634598956,0.0,0
27.25,0,18.162591667,0.221792714,EARTH,8,0.0064748894,21.5506184186,1.596440899100541,2.276193119782616,0.8317935745249676,298.3599388071066,8.0,0.0021467,2.0,APO,0.0152595812999999,0.0116572828,0.3522924582758285,0.1406788271444905,81.88993830969578,4.0,0
21.12,0,11.0831594458,0.1317875012,EARTH,82,0.0236640715,22.883705392,1.239185164362688,5.212720868435378,0.8764739406876025,225.5045154885461,0.0,0.024135,10629.0,APO,0.25676901605,0.1961540737,0.5471477101969311,0.0939949857318464,84.09871455852446,0.0,1
25.8,0,21.2232570584,0.4530700453,EARTH,9,0.0075516824,21.2232570584,2.203135447129971,4.354189782578337,0.9969715980662938,11.0684249926283,5.0,0.0127308,11.0,APO,0.02975381215,0.0227298899,0.2924271269405342,0.4278712232173584,46.84321393251023,0.4545454545454545,0
19.78,0,12.0465635886,0.0161427145,EARTH,29,0.0161427145,25.0693581488,1.711986366175478,11.47771305229197,0.8889266293676357,220.6183095222368,0.0,0.0130549,3213.0,APO,0.47592949115,0.3635777786999999,0.3506550150395764,0.0274303236986956,746.2538960594268,0.0,1
21.5,0,10.0023394228,0.3802281634,EARTH,11,0.2920704519,10.9158343744,2.614947974128417,15.7552923409927,1.277091426978335,198.6451312359181,5.0,0.291256,74.0,AMO,0.21554731475,0.1646634960999999,0.3230848932962845,1.3512392874752803,26.30615084732043,0.0675675675675675,0
27.5,0,19.3655354787,0.2770516467,EARTH,2,0.0078817744,19.3655354787,2.102573448079921,1.062830916416207,0.904231419161658,124.8683169278002,7.0,0.00422499,3.0,APO,0.0136001161,0.0103895642,0.2739335270662417,0.310658377394293,69.89864781301803,2.333333333333333,0
25.7,0,6.4412627656,0.0171195165,EARTH,2,0.0171195165,14.368292246,1.91309568404007,3.444101654152748,1.022346929739103,356.583339771588,7.0,0.0148162,6.0,AMO,0.0311560660999999,0.0238011166,0.364623270734663,0.4755478420300309,376.25261003136393,1.1666666666666667,0
22.12,0,10.0788827777,0.157523255,EARTH,10,0.0257132485,15.6095915482,2.17327671090761,12.48700830109198,0.9508710858459454,34.22210772207083,2.0,0.021795,118.0,APO,0.1620102965,0.1237648534,0.2800235686871239,0.1345284865891224,63.98345931653076,0.0169491525423728,1
23.5,0,13.082234086,0.3696509024,EARTH,6,0.0810174522,14.97332587,1.459823856311794,3.267190586991345,1.044647537636462,288.9676785491343,7.0,0.0802648,25.0,AMO,0.0858109316,0.0655537186,0.5571453014097103,0.9353680061900178,35.390780872066394,0.28,0
18.91,0,38.1166457265,0.1979524211,EARTH,4,0.1702643719,38.8619792364,2.060988664747578,60.15053366368185,0.6945460681472078,53.66385512229388,0.0,0.174282,4402.0,APO,0.71046488375,0.5427468755,0.2026433253322358,0.2453069869971599,192.5545821298369,0.0,0
18.8,0,38.6777228073,0.3468432798,EARTH,28,0.1003172327,41.894876786,2.431132144079903,8.508401211937974,0.3834440314157389,47.67731998999849,0.0,0.0560192,9564.0,APO,0.7473819704,0.5709490202,0.0856127304591786,0.0749539087356073,111.5135424552631,0.0,0
26.3,0,20.0002415649,0.1537737071,EARTH,9,0.0082639215,30.0159628845,1.291418712718645,5.562546506815963,0.6589312312878931,263.0245114706876,8.0,0.00784183,5.0,APO,0.0236342930499999,0.0180549933,0.3424965485800214,0.3317987969181079,130.0628172532364,1.6,0
20.5,0,24.2134443302,0.1311380161,EARTH,17,0.0692665594,32.8059272239,1.706709502843525,5.974347689474571,0.3121145135334553,232.9483043538816,0.0,0.00914102,7325.0,APO,0.3416194718,0.2609740539999999,0.1006397515378176,0.0267579009821535,184.64092297794036,0.0,1
26.5,0,18.9042390842,0.0028957721,EARTH,1,0.0028957721,18.9042390842,2.316839047635888,0.5588017319718609,0.6706293951538503,291.005343983837,8.0,0.00150228,5.0,APO,0.0215547315,0.0164663496,0.1692205788775431,0.0696960664993669,6528.220602788459,1.6,0
26.0,0,9.2356494571,0.0029481908,EARTH,1,0.0029481908,9.2356494571,2.519942136061286,0.3194239886742913,0.9798518791436216,22.15459343400783,8.0,0.000314916,6.0,APO,0.0271357992,0.020729906,0.2413409018209037,0.0116051861114892,3132.6498465092554,1.3333333333333333,0
17.01,0,26.2312687915,0.0959881463,EARTH,23,0.073378206,27.5730566622,0.8915260878015556,50.20606825868062,0.7008164011079444,244.2748054663281,0.0,0.0741389,10003.0,ATE,1.70428655095,1.3019590717,0.6475635139993925,0.0435014287701053,273.2761262991491,0.0,0
24.83,0,7.4051913066,0.141814882,EARTH,87,0.0123025966,18.4537688709,0.9226753825794892,2.394221554790591,0.7980347494108796,201.6083995284125,0.0,0.011573,5849.0,ATE,0.0465096013,0.0355301737999999,0.7619808514441961,0.2488303420481052,52.2173075361724,0.0,0
17.42,0,26.7848364668,0.4145685877,EARTH,34,0.1467289496,34.2252358397,2.004126918026442,29.4894133786338,0.6741093176407182,304.6515776327583,0.0,0.147818,8493.0,APO,1.41105069455,1.0779468109,0.2021835927981167,0.1047573985618857,64.60893869311363,0.0,0
25.0,0,16.7051869184,0.3961064439,EARTH,7,0.0443016398,19.1522056747,1.300802524065558,23.21224309057281,1.019319513580346,351.6475448574416,8.0,0.0373672,6.0,AMO,0.0430073433999999,0.0328546868,0.644207060813296,0.8688562707177121,42.173479315113966,1.3333333333333333,0
20.33,0,13.9165671895,0.1056100162,EARTH,33,0.026152315,25.5307746412,1.671279915154204,2.633344952330603,0.8605960742963751,263.6970007944777,0.0,0.0235734,5694.0,APO,0.3694388952,0.2822262024,0.3467399845029013,0.0638086576867827,131.77317540739094,0.0,1
29.7,0,18.2092715313,0.3966154518,EARTH,3,0.002383786,18.2092715313,1.393717105417074,4.109083295629376,0.9319185378938496,319.9710874835812,7.0,0.002141,1.0,APO,0.0049379036999999,0.0037722228,0.5022423423765037,0.4335848023929669,45.91165434593892,7.0,0
23.6,0,19.0810818952,0.437282123,EARTH,7,0.0724744611,19.0810818952,2.420368027581543,2.415311505577515,1.069359986031903,325.2673994103114,6.0,0.0576488,55.0,AMO,0.0819488035,0.0626033152,0.2835463678058106,0.7034733582168774,43.63563221906513,0.109090909090909,0
20.51,0,13.2138250822,0.19121804645,UNKNOWN,0,0.061065185,18.2444330968,2.244553588680319,23.33982691044706,1.198356101302928,285.0469185828018,7.0,0.393796,32.0,AMO,0.3400498729,0.2597749872,0.3641588420411754,1.158053660310602,68.06327340734398,0.21875,0
25.0,0,20.0044818858,0.4335938379,EARTH,111,0.0336685928,22.4485738696,1.013411991788378,12.75343051409649,0.8013728160622763,286.0640632640714,2.0,0.0319331,357.0,APO,0.0430073433999999,0.0328546868,0.653941044168786,0.7425034302397763,46.13645337462948,0.0056022408963585,0
22.5,0,10.3881335532,0.3953026065,EARTH,48,0.1268173683,22.7392224012,1.517493860055824,20.61728900302861,0.975156252501482,61.35708988259049,4.0,0.115869,174.0,APO,0.1360011613,0.1038956421999999,0.4734155525999738,0.8519706662240096,26.27894019008954,0.0229885057471264,0
25.7,0,10.0278396293,0.0645730321,EARTH,29,0.0417201575,24.68684386,0.7730569531153524,6.568601572109857,0.4899834352690643,345.6515267935123,8.0,0.0238278,4.0,ATE,0.0311560660999999,0.0238011166,0.4639421442153056,0.7647884660252406,155.29454484606742,2.0,0
22.42,0,20.3319663883,0.0896054434,EARTH,1,0.0896054434,20.3319663883,2.798091404403996,32.87209702318056,1.027362551566128,191.5885814902369,9.0,0.0206311,5.0,AMO,0.14110506945,0.1077946810999999,0.2248638584408512,0.1462109056777052,226.90548271200228,1.8,0
21.5,0,17.0045035847,0.2525908968,EARTH,96,0.0398845949,21.5695489344,1.037427300870713,29.92339593417262,0.938874979855866,39.32837509070515,2.0,0.0287179,372.0,APO,0.21554731475,0.1646634960999999,0.826489280060738,0.1332324646832558,67.32033418513916,0.0053763440860215,1
20.3,0,10.4822192202,0.2134488479,EARTH,21,0.1147355735,19.0980932567,1.649107280066402,17.44189293426254,1.079802460308049,339.7979065243124,0.0,0.0860877,6227.0,AMO,0.3745783022,0.28615236,0.4867456593810269,0.2298256452506287,49.10881142404142,0.0,0
25.6,0,5.7746787145,0.0716336331,EARTH,1,0.0716336331,5.7746787145,2.127297993527839,1.890499877054488,1.077182734496812,177.0723439252145,7.0,0.0683632,37.0,AMO,0.03262440625,0.0249228287,0.3390124761484279,2.095461890589963,80.61407001985496,0.1891891891891892,0
22.92,0,5.715954812,0.1490865036,EARTH,11,0.1490865036,9.7737589651,1.916158085645137,8.801739105147579,1.15635877278945,177.0690621713935,6.0,0.146748,56.0,AMO,0.11208374075,0.0856243587,0.4321289918282282,1.3092710773038685,38.33985420528703,0.1071428571428571,0
22.74,0,4.5062454023,0.4225737536,EARTH,52,0.0849152383,14.5396767728,1.471212372717152,2.38750972518817,1.065734537057483,325.194137038884,0.0,0.0845624,3412.0,AMO,0.1217706479,0.0930244974,0.5678798409564113,0.6944399283269314,10.663808066426965,0.0,0
26.1,0,3.8692115184,0.0429233084,EARTH,1,0.0429233084,3.8692115184,1.380276009014687,1.884288358432463,1.010906817743904,166.8587188870633,8.0,0.028168,25.0,APO,0.0259144870499999,0.0197969065,0.5777781790153605,1.086959581551895,90.14243455660562,0.32,0
